Receta,Ingrediente,Categoria,Ingrediente_Normalizado
Theriac Magna (Triaca de Andromachus),Opium,ACTIVO,Opium
Theriac Magna (Triaca de Andromachus),Trochisci de vipera,ACTIVO,Trochisci de vipera
Theriac Magna (Triaca de Andromachus),Squilla,ACTIVO,Squilla
Theriac Magna (Triaca de Andromachus),Hedychium,ACTIVO,Hedychium
Theriac Magna (Triaca de Andromachus),Castoreum,ACTIVO,Castoreum
Theriac Magna (Triaca de Andromachus),Nardus celtica,ACTIVO,Nardus celtica
Theriac Magna (Triaca de Andromachus),Petroselinum,ACTIVO,Petroselinum
Theriac Magna (Triaca de Andromachus),Phu/Valeriana,ACTIVO,Phu
Theriac Magna (Triaca de Andromachus),Amomum,ACTIVO,Amomum
Theriac Magna (Triaca de Andromachus),Acorus calamus,ACTIVO,Acorus calamus
Theriac Magna (Triaca de Andromachus),Hypericum,ACTIVO,Hypericum
Theriac Magna (Triaca de Andromachus),Gentiana,ACTIVO,Gentiana
Theriac Magna (Triaca de Andromachus),Aristolochia,ACTIVO,Aristolochia
Theriac Magna (Triaca de Andromachus),Opopanax,ACTIVO,Opopanax
Theriac Magna (Triaca de Andromachus),Sagapenum,ACTIVO,Sagapenum
Theriac Magna (Triaca de Andromachus),Galbanum,ACTIVO,Galbanum
Theriac Magna (Triaca de Andromachus),Balsamum,ACTIVO,Balsamum
Theriac Magna (Triaca de Andromachus),Styrax,ACTIVO,Styrax
Theriac Magna (Triaca de Andromachus),Terebinthina,ACTIVO,Terebinthina
Theriac Magna (Triaca de Andromachus),Bitumen judaicum,ACTIVO,Bitumen judaicum
Theriac Magna (Triaca de Andromachus),Crocus,ESPECIA,Crocus
Theriac Magna (Triaca de Andromachus),Zingiber,ESPECIA,Zingiber
Theriac Magna (Triaca de Andromachus),Cinnamomum,ESPECIA,Cinnamomum
Theriac Magna (Triaca de Andromachus),Piper longum,ESPECIA,Piper longum
Theriac Magna (Triaca de Andromachus),Piper nigrum,ESPECIA,Piper nigrum
Theriac Magna (Triaca de Andromachus),Myrrha,ESPECIA,Myrrha
Theriac Magna (Triaca de Andromachus),Olibanum,ESPECIA,Olibanum
Theriac Magna (Triaca de Andromachus),Casia,ESPECIA,Casia
Theriac Magna (Triaca de Andromachus),Costus,ESPECIA,Costus
Theriac Magna (Triaca de Andromachus),Anisi,ESPECIA,Anisi
Theriac Magna (Triaca de Andromachus),Foeniculum,ESPECIA,Foeniculum
Theriac Magna (Triaca de Andromachus),Daucus creticus,ESPECIA,Daucus creticus
Theriac Magna (Triaca de Andromachus),Mel despumatum,BASE,Mel despumatum
Theriac Magna (Triaca de Andromachus),Vinum,BASE,Vinum
Mithridatium,Opium,ACTIVO,Opium
Mithridatium,Castoreum,ACTIVO,Castoreum
Mithridatium,Nardus indica,ACTIVO,Nardus indica
Mithridatium,Nardus celtica,ACTIVO,Nardus celtica
Mithridatium,Gentiana,ACTIVO,Gentiana
Mithridatium,Aristolochia longa,ACTIVO,Aristolochia longa
Mithridatium,Aristolochia rotunda,ACTIVO,Aristolochia rotunda
Mithridatium,Hypericum,ACTIVO,Hypericum
Mithridatium,Sagapenum,ACTIVO,Sagapenum
Mithridatium,Opopanax,ACTIVO,Opopanax
Mithridatium,Acacia,ACTIVO,Acacia
Mithridatium,Gummi arabicum,ACTIVO,Gummi arabicum
Mithridatium,Hypocistis,ACTIVO,Hypocistis
Mithridatium,Stachys,ACTIVO,Stachys
Mithridatium,Thlaspi,ACTIVO,Thlaspi
Mithridatium,Daucus creticus,ACTIVO,Daucus creticus
Mithridatium,Crocus,ESPECIA,Crocus
Mithridatium,Zingiber,ESPECIA,Zingiber
Mithridatium,Cinnamomum,ESPECIA,Cinnamomum
Mithridatium,Piper longum,ESPECIA,Piper longum
Mithridatium,Piper nigrum,ESPECIA,Piper nigrum
Mithridatium,Myrrha,ESPECIA,Myrrha
Mithridatium,Costus,ESPECIA,Costus
Mithridatium,Casia,ESPECIA,Casia
Mithridatium,Anisi,ESPECIA,Anisi
Mithridatium,Petroselinum,ESPECIA,Petroselinum
Mithridatium,Foeniculum,ESPECIA,Foeniculum
Mithridatium,Cardamomum,ESPECIA,Cardamomum
Mithridatium,Mel despumatum,BASE,Mel despumatum
Mithridatium,Vinum,BASE,Vinum
Diascordium,Scordium,ACTIVO,Scordium
Diascordium,Opium,ACTIVO,Opium
Diascordium,Castoreum,ACTIVO,Castoreum
Diascordium,Galbanum,ACTIVO,Galbanum
Diascordium,Styrax,ACTIVO,Styrax
Diascordium,Bistorta,ACTIVO,Bistorta
Diascordium,Cinnamomum,ESPECIA,Cinnamomum
Diascordium,Piper longum,ESPECIA,Piper longum
Diascordium,Zingiber,ESPECIA,Zingiber
Diascordium,Rosa,ESPECIA,Rosa
Diascordium,Gentiana,ESPECIA,Gentiana
Diascordium,Dictamnus,ESPECIA,Dictamnus
Diascordium,Mel despumatum,BASE,Mel despumatum
Pillulae Cochiae,Colocynthis,ACTIVO,Colocynthis
Pillulae Cochiae,Aloe,ACTIVO,Aloe
Pillulae Cochiae,Scammonium,ACTIVO,Scammonium
Pillulae Cochiae,Staphisagria,ESPECIA,Staphisagria
Pillulae Cochiae,Bdellium,ESPECIA,Bdellium
Pillulae Cochiae,Succo absinthii,BASE,Succo absinthii
Pillulae Aureae,Aloe,ACTIVO,Aloe
Pillulae Aureae,Diagridium,ACTIVO,Diagridium
Pillulae Aureae,Mastix,ACTIVO,Mastix
Pillulae Aureae,Rosa,ACTIVO,Rosa
Pillulae Aureae,Crocus,ESPECIA,Crocus
Pillulae Aureae,Cinnamomum,ESPECIA,Cinnamomum
Pillulae Aureae,Succo absinthii,BASE,Succo absinthii
Unguentum Apostolorum,Aristolochia longa,ACTIVO,Aristolochia longa
Unguentum Apostolorum,Aristolochia rotunda,ACTIVO,Aristolochia rotunda
Unguentum Apostolorum,Opopanax,ACTIVO,Opopanax
Unguentum Apostolorum,Galbanum,ACTIVO,Galbanum
Unguentum Apostolorum,Bdellium,ACTIVO,Bdellium
Unguentum Apostolorum,Verdigris,ACTIVO,Verdigris
Unguentum Apostolorum,Litharge,ACTIVO,Litharge
Unguentum Apostolorum,Olibanum,ESPECIA,Olibanum
Unguentum Apostolorum,Myrrha,ESPECIA,Myrrha
Unguentum Apostolorum,Cera,BASE,Cera
Unguentum Apostolorum,Oleum olivarum,BASE,Oleum olivarum
Unguentum Apostolorum,Resina pini,BASE,Resina pini
Electuarium de Succo Rosarum,Rosa gallica,ACTIVO,Rosa gallica
Electuarium de Succo Rosarum,Senna,ACTIVO,Senna
Electuarium de Succo Rosarum,Tamarindus,ACTIVO,Tamarindus
Electuarium de Succo Rosarum,Viola,ACTIVO,Viola
Electuarium de Succo Rosarum,Cinnamomum,ESPECIA,Cinnamomum
Electuarium de Succo Rosarum,Zingiber,ESPECIA,Zingiber
Electuarium de Succo Rosarum,Anisi,ESPECIA,Anisi
Electuarium de Succo Rosarum,Saccharum,BASE,Saccharum
Aurea Alexandrina,Opium,ACTIVO,Opium
Aurea Alexandrina,Castoreum,ACTIVO,Castoreum
Aurea Alexandrina,Stachys,ACTIVO,Stachys
Aurea Alexandrina,Hypericum,ACTIVO,Hypericum
Aurea Alexandrina,Petroselinum,ACTIVO,Petroselinum
Aurea Alexandrina,Acorus calamus,ACTIVO,Acorus calamus
Aurea Alexandrina,Phu/Valeriana,ACTIVO,Phu
Aurea Alexandrina,Squilla,ACTIVO,Squilla
Aurea Alexandrina,Crocus,ESPECIA,Crocus
Aurea Alexandrina,Piper longum,ESPECIA,Piper longum
Aurea Alexandrina,Piper nigrum,ESPECIA,Piper nigrum
Aurea Alexandrina,Zingiber,ESPECIA,Zingiber
Aurea Alexandrina,Cinnamomum,ESPECIA,Cinnamomum
Aurea Alexandrina,Myrrha,ESPECIA,Myrrha
Aurea Alexandrina,Costus,ESPECIA,Costus
Aurea Alexandrina,Nardus,ESPECIA,Nardus
Aurea Alexandrina,Anisi,ESPECIA,Anisi
Aurea Alexandrina,Foeniculum,ESPECIA,Foeniculum
Aurea Alexandrina,Casia,ESPECIA,Casia
Aurea Alexandrina,Mel despumatum,BASE,Mel despumatum
Aurea Alexandrina,Vinum,BASE,Vinum
Aurea Alexandrina,Saccharum,BASE,Saccharum
Confectio Hamech,Polypodium,ACTIVO,Polypodium
Confectio Hamech,Epithymum,ACTIVO,Epithymum
Confectio Hamech,Fumaria,ACTIVO,Fumaria
Confectio Hamech,Lapis lazuli,ACTIVO,Lapis lazuli
Confectio Hamech,Myrobalanus indus,ACTIVO,Myrobalanus indus
Confectio Hamech,Myrobalanus citrinus,ACTIVO,Myrobalanus citrinus
Confectio Hamech,Myrobalanus kebulus,ACTIVO,Myrobalanus kebulus
Confectio Hamech,Senna,ACTIVO,Senna
Confectio Hamech,Rhabarbarum,ACTIVO,Rhabarbarum
Confectio Hamech,Zingiber,ESPECIA,Zingiber
Confectio Hamech,Anisi,ESPECIA,Anisi
Confectio Hamech,Rosa,ESPECIA,Rosa
Confectio Hamech,Cinnamomum,ESPECIA,Cinnamomum
Confectio Hamech,Saccharum,BASE,Saccharum
Confectio Hamech,Mel despumatum,BASE,Mel despumatum
Hiera Picra (Hiera de Galeno),Aloe,ACTIVO,Aloe
Hiera Picra (Hiera de Galeno),Xylobalsamum,ACTIVO,Xylobalsamum
Hiera Picra (Hiera de Galeno),Asarum,ACTIVO,Asarum
Hiera Picra (Hiera de Galeno),Nardus indica,ACTIVO,Nardus indica
Hiera Picra (Hiera de Galeno),Crocus,ACTIVO,Crocus
Hiera Picra (Hiera de Galeno),Mastix,ACTIVO,Mastix
Hiera Picra (Hiera de Galeno),Spica nardi,ACTIVO,Spica nardi
Hiera Picra (Hiera de Galeno),Cinnamomum,ESPECIA,Cinnamomum
Hiera Picra (Hiera de Galeno),Casia,ESPECIA,Casia
Hiera Picra (Hiera de Galeno),Mel despumatum,BASE,Mel despumatum
Trifera Magna,Opium,ACTIVO,Opium
Trifera Magna,Castoreum,ACTIVO,Castoreum
Trifera Magna,Euphorbia,ACTIVO,Euphorbia
Trifera Magna,Pyrethrum,ACTIVO,Pyrethrum
Trifera Magna,Staphisagria,ACTIVO,Staphisagria
Trifera Magna,Sagapenum,ACTIVO,Sagapenum
Trifera Magna,Opopanax,ACTIVO,Opopanax
Trifera Magna,Bdellium,ACTIVO,Bdellium
Trifera Magna,Nardus indica,ACTIVO,Nardus indica
Trifera Magna,Hypericum,ACTIVO,Hypericum
Trifera Magna,Amomum,ACTIVO,Amomum
Trifera Magna,Petroselinum,ACTIVO,Petroselinum
Trifera Magna,Squilla,ACTIVO,Squilla
Trifera Magna,Crocus,ESPECIA,Crocus
Trifera Magna,Piper longum,ESPECIA,Piper longum
Trifera Magna,Piper nigrum,ESPECIA,Piper nigrum
Trifera Magna,Piper album,ESPECIA,Piper album
Trifera Magna,Zingiber,ESPECIA,Zingiber
Trifera Magna,Cinnamomum,ESPECIA,Cinnamomum
Trifera Magna,Casia,ESPECIA,Casia
Trifera Magna,Costus,ESPECIA,Costus
Trifera Magna,Myrrha,ESPECIA,Myrrha
Trifera Magna,Galanga,ESPECIA,Galanga
Trifera Magna,Cardamomum,ESPECIA,Cardamomum
Trifera Magna,Cubeba,ESPECIA,Cubeba
Trifera Magna,Nux moschata,ESPECIA,Nux moschata
Trifera Magna,Mel despumatum,BASE,Mel despumatum
Trifera Magna,Vinum,BASE,Vinum
Diamargariton (Electuario de Perlas),Margarita (Perla),ACTIVO,Margarita
Diamargariton (Electuario de Perlas),Corallium rubrum,ACTIVO,Corallium rubrum
Diamargariton (Electuario de Perlas),Corallium album,ACTIVO,Corallium album
Diamargariton (Electuario de Perlas),Lapis lazuli,ACTIVO,Lapis lazuli
Diamargariton (Electuario de Perlas),Os de corde cervi,ACTIVO,Os de corde cervi
Diamargariton (Electuario de Perlas),Cornu cervi,ACTIVO,Cornu cervi
Diamargariton (Electuario de Perlas),Doronicum,ACTIVO,Doronicum
Diamargariton (Electuario de Perlas),Zedoaria,ACTIVO,Zedoaria
Diamargariton (Electuario de Perlas),Cinnamomum,ESPECIA,Cinnamomum
Diamargariton (Electuario de Perlas),Galanga,ESPECIA,Galanga
Diamargariton (Electuario de Perlas),Nux moschata,ESPECIA,Nux moschata
Diamargariton (Electuario de Perlas),Cubeba,ESPECIA,Cubeba
Diamargariton (Electuario de Perlas),Cardamomum,ESPECIA,Cardamomum
Diamargariton (Electuario de Perlas),Crocus,ESPECIA,Crocus
Diamargariton (Electuario de Perlas),Casia,ESPECIA,Casia
Diamargariton (Electuario de Perlas),Saccharum,BASE,Saccharum
Diaciminum (Electuario de Comino),Cuminum,ACTIVO,Cuminum
Diaciminum (Electuario de Comino),Apium,ACTIVO,Apium
Diaciminum (Electuario de Comino),Carum (Alcaravea),ACTIVO,Carum
Diaciminum (Electuario de Comino),Amomum,ACTIVO,Amomum
Diaciminum (Electuario de Comino),Daucus creticus,ACTIVO,Daucus creticus
Diaciminum (Electuario de Comino),Piper longum,ESPECIA,Piper longum
Diaciminum (Electuario de Comino),Piper nigrum,ESPECIA,Piper nigrum
Diaciminum (Electuario de Comino),Zingiber,ESPECIA,Zingiber
Diaciminum (Electuario de Comino),Anisi,ESPECIA,Anisi
Diaciminum (Electuario de Comino),Cinnamomum,ESPECIA,Cinnamomum
Diaciminum (Electuario de Comino),Mel despumatum,BASE,Mel despumatum
Unguentum Basilicon,Resina pini,ACTIVO,Resina pini
Unguentum Basilicon,Pix (Pez),ACTIVO,Pix
Unguentum Basilicon,Galbanum,ACTIVO,Galbanum
Unguentum Basilicon,Olibanum,ESPECIA,Olibanum
Unguentum Basilicon,Cera,BASE,Cera
Unguentum Basilicon,Oleum olivarum,BASE,Oleum olivarum
Unguentum Basilicon,Sebum,BASE,Sebum
Unguentum Populeon,Populus (Yemas de alamo),ACTIVO,Populus
Unguentum Populeon,Mandragora,ACTIVO,Mandragora
Unguentum Populeon,Hyoscyamus,ACTIVO,Hyoscyamus
Unguentum Populeon,Papaver nigrum,ACTIVO,Papaver nigrum
Unguentum Populeon,Lactuca,ACTIVO,Lactuca
Unguentum Populeon,Sempervivum,ACTIVO,Sempervivum
Unguentum Populeon,Solanum,ACTIVO,Solanum
Unguentum Populeon,Umbilicus veneris,ACTIVO,Umbilicus veneris
Unguentum Populeon,Viola,ESPECIA,Viola
Unguentum Populeon,Axungia porci (Grasa de cerdo),BASE,Axungia porci
Unguentum Populeon,Oleum olivarum,BASE,Oleum olivarum
Unguentum Populeon,Cera,BASE,Cera
Pillulae de Hiera cum Agarico,Aloe,ACTIVO,Aloe
Pillulae de Hiera cum Agarico,Agaricum,ACTIVO,Agaricum
Pillulae de Hiera cum Agarico,Coloquintida,ACTIVO,Coloquintida
Pillulae de Hiera cum Agarico,Mastix,ACTIVO,Mastix
Pillulae de Hiera cum Agarico,Euphorbia,ACTIVO,Euphorbia
Pillulae de Hiera cum Agarico,Crocus,ESPECIA,Crocus
Pillulae de Hiera cum Agarico,Cinnamomum,ESPECIA,Cinnamomum
Pillulae de Hiera cum Agarico,Rosa,ESPECIA,Rosa
Pillulae de Hiera cum Agarico,Succo absinthii,BASE,Succo absinthii
Pillulae Fetidae (Pildoras Fetidas),Opopanax,ACTIVO,Opopanax
Pillulae Fetidae (Pildoras Fetidas),Galbanum,ACTIVO,Galbanum
Pillulae Fetidae (Pildoras Fetidas),Sagapenum,ACTIVO,Sagapenum
Pillulae Fetidae (Pildoras Fetidas),Castoreum,ACTIVO,Castoreum
Pillulae Fetidae (Pildoras Fetidas),Asa foetida,ACTIVO,Asa foetida
Pillulae Fetidae (Pildoras Fetidas),Myrrha,ESPECIA,Myrrha
Pillulae Fetidae (Pildoras Fetidas),Bdellium,ESPECIA,Bdellium
Pillulae Fetidae (Pildoras Fetidas),Succo rutae,BASE,Succo rutae
Requies Magna (Requies Nicolai),Opium,ACTIVO,Opium
Requies Magna (Requies Nicolai),Mandragora,ACTIVO,Mandragora
Requies Magna (Requies Nicolai),Hyoscyamus,ACTIVO,Hyoscyamus
Requies Magna (Requies Nicolai),Papaver album,ACTIVO,Papaver album
Requies Magna (Requies Nicolai),Lactuca,ACTIVO,Lactuca
Requies Magna (Requies Nicolai),Psyllium,ACTIVO,Psyllium
Requies Magna (Requies Nicolai),Gummi arabicum,ACTIVO,Gummi arabicum
Requies Magna (Requies Nicolai),Amylum,ACTIVO,Amylum
Requies Magna (Requies Nicolai),Tragacantha,ACTIVO,Tragacantha
Requies Magna (Requies Nicolai),Glycyrrhiza,ACTIVO,Glycyrrhiza
Requies Magna (Requies Nicolai),Rosa,ESPECIA,Rosa
Requies Magna (Requies Nicolai),Cinnamomum,ESPECIA,Cinnamomum
Requies Magna (Requies Nicolai),Nux moschata,ESPECIA,Nux moschata
Requies Magna (Requies Nicolai),Crocus,ESPECIA,Crocus
Requies Magna (Requies Nicolai),Camphor,ESPECIA,Camphor
Requies Magna (Requies Nicolai),Saccharum,BASE,Saccharum
Requies Magna (Requies Nicolai),Aqua rosarum,BASE,Aqua rosarum
Diacodion (Jarabe de Adormidera),Papaver album (capita),ACTIVO,Papaver album
Diacodion (Jarabe de Adormidera),Glycyrrhiza,ACTIVO,Glycyrrhiza
Diacodion (Jarabe de Adormidera),Gummi arabicum,ACTIVO,Gummi arabicum
Diacodion (Jarabe de Adormidera),Cinnamomum,ESPECIA,Cinnamomum
Diacodion (Jarabe de Adormidera),Saccharum,BASE,Saccharum
Diacodion (Jarabe de Adormidera),Aqua,BASE,Aqua
Dialtea (Ungueento de Altea),Althaea (Malvavisco),ACTIVO,Althaea
Dialtea (Ungueento de Altea),Linum (Linaza),ACTIVO,Linum
Dialtea (Ungueento de Altea),Foenum graecum (Alholva),ACTIVO,Foenum graecum
Dialtea (Ungueento de Altea),Terebinthina,ACTIVO,Terebinthina
Dialtea (Ungueento de Altea),Cera,ACTIVO,Cera
Dialtea (Ungueento de Altea),Colophonia,ACTIVO,Colophonia
Dialtea (Ungueento de Altea),Olibanum,ESPECIA,Olibanum
Dialtea (Ungueento de Altea),Oleum olivarum,BASE,Oleum olivarum
Dialtea (Ungueento de Altea),Axungia porci,BASE,Axungia porci
Dialtea (Ungueento de Altea),Aqua,BASE,Aqua
Philonium Persicum,Opium,ACTIVO,Opium
Philonium Persicum,Castoreum,ACTIVO,Castoreum
Philonium Persicum,Pyrethrum,ACTIVO,Pyrethrum
Philonium Persicum,Euphorbium,ACTIVO,Euphorbium
Philonium Persicum,Hyoscyamus,ACTIVO,Hyoscyamus
Philonium Persicum,Nardus indica,ACTIVO,Nardus indica
Philonium Persicum,Hypocistis,ACTIVO,Hypocistis
Philonium Persicum,Gummi arabicum,ACTIVO,Gummi arabicum
Philonium Persicum,Styrax,ACTIVO,Styrax
Philonium Persicum,Crocus,ESPECIA,Crocus
Philonium Persicum,Piper longum,ESPECIA,Piper longum
Philonium Persicum,Piper nigrum,ESPECIA,Piper nigrum
Philonium Persicum,Zingiber,ESPECIA,Zingiber
Philonium Persicum,Cinnamomum,ESPECIA,Cinnamomum
Philonium Persicum,Myrrha,ESPECIA,Myrrha
Philonium Persicum,Casia,ESPECIA,Casia
Philonium Persicum,Cardamomum,ESPECIA,Cardamomum
Philonium Persicum,Mel despumatum,BASE,Mel despumatum
Oximel Compositum,Squilla,ACTIVO,Squilla
Oximel Compositum,Petroselinum,ACTIVO,Petroselinum
Oximel Compositum,Apium,ACTIVO,Apium
Oximel Compositum,Foeniculum (radix),ACTIVO,Foeniculum
Oximel Compositum,Carum,ACTIVO,Carum
