Folio,N_Identified,Identified_Ingredients,Best_Recipe,Best_F1,Best_Overlap,Best_Precision,Best_Recall,Top5_Recipes
f87r,2,Mel despumatum|Rosa,Theriac Diatessaron,28.571428571428577,1,50.0,20.0,Theriac Diatessaron(28.6%); Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena)(28.6%); Itrifal Ustukhudus (Electuario de Espliego)(28.6%); Diascordium(26.7%); Confectio Hamech(23.5%)
f87v,5,Bdellium|Crocus|Galbanum|Myrrha|Opopanax,Pillulae Fetidae (Pildoras Fetidas),61.53846153846154,4,80.0,50.0,Pillulae Fetidae (Pildoras Fetidas)(61.5%); Unguentum Apostolorum(47.1%); Theriac Abulcasis (contra venenos)(42.1%); Philonium Romanum(25.0%); Trifera Magna(24.2%)
f88r,11,Cardamomum|Casia|Crocus|Cubeba|Galanga|Galbanum|Mel despumatum|Nux moschata|Opopanax|Piper longum|Piper nigrum,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),52.17391304347826,6,54.54545454545454,50.0,Jawaarish Jalinusi (Digestivo de Galeno - Avicena)(52.2%); Trifera Magna(51.3%); Suffuf al-Tib (Polvo aromatico de Avicena)(50.0%); Diasatyrion(48.0%); Trifera Saracenica(48.0%)
f88v,8,Cardamomum|Casia|Crocus|Galbanum|Mel despumatum|Myrrha|Piper longum|Piper nigrum,Trifera Saracenica,63.63636363636363,7,87.5,50.0,Trifera Saracenica(63.6%); Electuarium Justinum(63.6%); Jawaarish Jalinusi (Digestivo de Galeno - Avicena)(60.0%); Paulinum(57.1%); Theodoricon Euporistum(56.0%)
f89r,10,Bdellium|Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Opopanax|Piper longum|Piper nigrum|Styrax,Trifera Saracenica,58.333333333333336,7,70.0,50.0,Trifera Saracenica(58.3%); Electuarium Justinum(58.3%); Philonium Persicum(57.1%); Jawaarish Jalinusi (Digestivo de Galeno - Avicena)(54.5%); Paulinum(52.2%)
f89v,8,Cardamomum|Casia|Crocus|Galbanum|Mel despumatum|Myrrha|Piper longum|Piper nigrum,Trifera Saracenica,63.63636363636363,7,87.5,50.0,Trifera Saracenica(63.6%); Electuarium Justinum(63.6%); Jawaarish Jalinusi (Digestivo de Galeno - Avicena)(60.0%); Paulinum(57.1%); Theodoricon Euporistum(56.0%)
f90r,4,Bdellium|Mel despumatum|Myrrha|Piper longum,Theriac Diatessaron,44.44444444444445,2,50.0,40.0,Theriac Diatessaron(44.4%); Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena)(44.4%); Electuarium de Baccis Lauri(40.0%); Philonium Romanum(40.0%); Antidotum Hadriani(37.5%)
f90v,5,Casia|Cinnamomum|Galbanum|Mel despumatum|Myrrha,Antidotum Hadriani,47.05882352941176,4,80.0,33.33333333333333,Antidotum Hadriani(47.1%); Theriac Diatessaron Magna(46.2%); Paulinum(44.4%); Trifera Saracenica(42.1%); Electuarium Justinum(42.1%)
f93r,5,Casia|Mel despumatum|Myrrha|Piper nigrum|Styrax,Paulinum,44.44444444444444,4,80.0,30.76923076923077,Paulinum(44.4%); Philonium Persicum(43.5%); Trifera Saracenica(42.1%); Electuarium Justinum(42.1%); Theriac Diatessaron(40.0%)
f93v,6,Casia|Galbanum|Mel despumatum|Piper nigrum|Rosa|Styrax,Diascordium,42.10526315789473,4,66.66666666666666,30.76923076923077,Diascordium(42.1%); Philonium Persicum(33.3%); Jawaarish Jalinusi (Digestivo de Galeno - Avicena)(33.3%); Paulinum(31.6%); Trifera Saracenica(30.0%)
f94r,2,Myrrha|Piper longum,Electuarium de Baccis Lauri,30.76923076923077,2,100.0,18.181818181818183,Electuarium de Baccis Lauri(30.8%); Philonium Romanum(30.8%); Theriac Diatessaron(28.6%); Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena)(28.6%); Antidotum Hadriani(28.6%)
f94v,3,Crocus|Mel despumatum|Piper longum,Confectio Anacardia,46.15384615384615,3,100.0,30.0,Confectio Anacardia(46.2%); Philonium Romanum(42.9%); Jawaarish Jalinusi (Digestivo de Galeno - Avicena)(40.0%); Antidotum Hadriani(40.0%); Paulinum(37.5%)
f95r,8,Amomum|Bdellium|Crocus|Mel despumatum|Myrrha|Opopanax|Piper longum|Piper nigrum,Electuarium Justinum,54.54545454545454,6,75.0,42.857142857142854,Electuarium Justinum(54.5%); Theriac Abulcasis (contra venenos)(54.5%); Philonium Romanum(52.6%); Theodoricon Euporistum(48.0%); Paulinum(47.6%)
f95v,4,Casia|Crocus|Piper longum|Styrax,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),37.5,3,75.0,25.0,Jawaarish Jalinusi (Digestivo de Galeno - Avicena)(37.5%); Antidotum Hadriani(37.5%); Philonium Persicum(36.4%); Paulinum(35.3%); Trifera Saracenica(33.3%)
f96r,6,Cardamomum|Crocus|Galbanum|Mel despumatum|Piper nigrum|Styrax,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),44.44444444444444,4,66.66666666666666,33.33333333333333,Jawaarish Jalinusi (Digestivo de Galeno - Avicena)(44.4%); Philonium Persicum(41.7%); Trifera Saracenica(40.0%); Electuarium Justinum(40.0%); Theriac Abulcasis (contra venenos)(40.0%)
f96v,1,Crocus,Pillulae Aureae,25.0,1,100.0,14.285714285714285,Pillulae Aureae(25.0%); Rosata Novella(25.0%); Pillulae de Hiera cum Agarico(20.0%); Suffuf al-Tib (Polvo aromatico de Avicena)(20.0%); Hiera Picra (Hiera de Galeno)(18.2%)
f99r,5,Amomum|Casia|Crocus|Mel despumatum|Piper nigrum,Electuarium Justinum,52.63157894736842,5,100.0,35.714285714285715,Electuarium Justinum(52.6%); Jawaarish Jalinusi (Digestivo de Galeno - Avicena)(47.1%); Theodoricon Euporistum(45.5%); Paulinum(44.4%); Trifera Saracenica(42.1%)
f99v,6,Casia|Cinnamomum|Myrrha|Piper longum|Piper nigrum|Saccharum,Paulinum,52.63157894736842,5,83.33333333333334,38.46153846153847,Paulinum(52.6%); Trifera Saracenica(50.0%); Electuarium Justinum(50.0%); Philonium Romanum(47.1%); Jawaarish Jalinusi (Digestivo de Galeno - Avicena)(44.4%)
f100r,8,Cardamomum|Casia|Cinnamomum|Crocus|Cubeba|Galanga|Nux moschata|Saccharum,Suffuf al-Tib (Polvo aromatico de Avicena),70.58823529411765,6,75.0,66.66666666666666,Suffuf al-Tib (Polvo aromatico de Avicena)(70.6%); Diamargariton (Electuario de Perlas)(66.7%); Diarodon Abbatis(66.7%); Rosata Novella(66.7%); Letitia Galeni(63.6%)
f100v,5,Amomum|Galbanum|Mel despumatum|Piper longum|Piper nigrum,Diaciminum (Electuario de Comino),50.000000000000014,4,80.0,36.36363636363637,Diaciminum (Electuario de Comino)(50.0%); Electuarium Justinum(42.1%); Theriac Abulcasis (contra venenos)(42.1%); Confectio Anacardia(40.0%); Electuarium Diaspermaton(40.0%)
f101r,12,Amomum|Casia|Cinnamomum|Crocus|Cubeba|Galanga|Galbanum|Mel despumatum|Myrrha|Nux moschata|Piper longum|Piper nigrum,Electuarium Justinum,61.53846153846153,8,66.66666666666666,57.14285714285714,Electuarium Justinum(61.5%); Paulinum(56.0%); Theodoricon Euporistum(55.2%); Trifera Magna(55.0%); Trifera Saracenica(53.8%)
f101v,7,Cardamomum|Cinnamomum|Crocus|Galbanum|Mel despumatum|Myrrha|Piper nigrum,Trifera Saracenica,57.14285714285714,6,85.71428571428571,42.857142857142854,Trifera Saracenica(57.1%); Electuarium Justinum(57.1%); Theriac Abulcasis (contra venenos)(57.1%); Philonium Romanum(55.6%); Jawaarish Jalinusi (Digestivo de Galeno - Avicena)(52.6%)
f102r,8,Bdellium|Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Opopanax|Piper nigrum,Trifera Saracenica,54.54545454545454,6,75.0,42.857142857142854,Trifera Saracenica(54.5%); Electuarium Justinum(54.5%); Jawaarish Jalinusi (Digestivo de Galeno - Avicena)(50.0%); Theodoricon Euporistum(48.0%); Paulinum(47.6%)
f102v,7,Cardamomum|Casia|Crocus|Galbanum|Mel despumatum|Myrrha|Piper longum,Trifera Saracenica,57.14285714285714,6,85.71428571428571,42.857142857142854,Trifera Saracenica(57.1%); Electuarium Justinum(57.1%); Jawaarish Jalinusi (Digestivo de Galeno - Avicena)(52.6%); Antidotum Hadriani(52.6%); Theodoricon Euporistum(50.0%)
f103r,5,Amomum|Cardamomum|Crocus|Myrrha|Piper longum,Electuarium Justinum,52.63157894736842,5,100.0,35.714285714285715,Electuarium Justinum(52.6%); Theodoricon Euporistum(45.5%); Trifera Saracenica(42.1%); Electuarium Diacostum(37.5%); Philonium Romanum(37.5%)
f103v,6,Amomum|Cardamomum|Cinnamomum|Crocus|Myrrha|Piper longum,Electuarium Justinum,60.0,6,100.0,42.857142857142854,Electuarium Justinum(60.0%); Theodoricon Euporistum(52.2%); Trifera Saracenica(50.0%); Electuarium Diacostum(47.1%); Philonium Romanum(47.1%)
f104r,7,Amomum|Cardamomum|Crocus|Galbanum|Mel despumatum|Myrrha|Piper longum,Electuarium Justinum,57.14285714285714,6,85.71428571428571,42.857142857142854,Electuarium Justinum(57.1%); Theodoricon Euporistum(50.0%); Trifera Saracenica(47.6%); Theriac Abulcasis (contra venenos)(47.6%); Electuarium Diacostum(44.4%)
f104v,7,Cardamomum|Casia|Cinnamomum|Crocus|Galbanum|Myrrha|Piper longum,Trifera Saracenica,57.14285714285714,6,85.71428571428571,42.857142857142854,Trifera Saracenica(57.1%); Electuarium Justinum(57.1%); Jawaarish Jalinusi (Digestivo de Galeno - Avicena)(52.6%); Antidotum Hadriani(52.6%); Theodoricon Euporistum(50.0%)
f105r,8,Bdellium|Cardamomum|Casia|Cinnamomum|Crocus|Mel despumatum|Myrrha|Piper longum,Trifera Saracenica,63.63636363636363,7,87.5,50.0,Trifera Saracenica(63.6%); Electuarium Justinum(63.6%); Jawaarish Jalinusi (Digestivo de Galeno - Avicena)(60.0%); Antidotum Hadriani(60.0%); Paulinum(57.1%)
f105v,7,Amomum|Cardamomum|Crocus|Myrrha|Opopanax|Piper longum|Piper nigrum,Electuarium Justinum,57.14285714285714,6,85.71428571428571,42.857142857142854,Electuarium Justinum(57.1%); Theodoricon Euporistum(50.0%); Trifera Saracenica(47.6%); Theriac Abulcasis (contra venenos)(47.6%); Philonium Romanum(44.4%)
f106r,8,Cardamomum|Casia|Cinnamomum|Crocus|Myrrha|Piper longum|Piper nigrum|Saccharum,Trifera Saracenica,63.63636363636363,7,87.5,50.0,Trifera Saracenica(63.6%); Electuarium Justinum(63.6%); Jawaarish Jalinusi (Digestivo de Galeno - Avicena)(60.0%); Paulinum(57.1%); Theodoricon Euporistum(56.0%)
f106v,6,Cardamomum|Casia|Crocus|Myrrha|Piper longum|Styrax,Philonium Persicum,50.0,6,100.0,33.33333333333333,Philonium Persicum(50.0%); Trifera Saracenica(50.0%); Electuarium Justinum(50.0%); Jawaarish Jalinusi (Digestivo de Galeno - Avicena)(44.4%); Antidotum Hadriani(44.4%)
f107r,5,Cardamomum|Cinnamomum|Crocus|Myrrha|Piper longum,Trifera Saracenica,52.63157894736842,5,100.0,35.714285714285715,Trifera Saracenica(52.6%); Electuarium Justinum(52.6%); Philonium Romanum(50.0%); Jawaarish Jalinusi (Digestivo de Galeno - Avicena)(47.1%); Antidotum Hadriani(47.1%)
f107v,8,Bdellium|Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum,Trifera Saracenica,63.63636363636363,7,87.5,50.0,Trifera Saracenica(63.6%); Electuarium Justinum(63.6%); Jawaarish Jalinusi (Digestivo de Galeno - Avicena)(60.0%); Paulinum(57.1%); Theodoricon Euporistum(56.0%)
f108r,8,Amomum|Bdellium|Cardamomum|Casia|Crocus|Myrrha|Piper longum|Piper nigrum,Electuarium Justinum,63.63636363636363,7,87.5,50.0,Electuarium Justinum(63.6%); Theodoricon Euporistum(56.0%); Trifera Saracenica(54.5%); Jawaarish Jalinusi (Digestivo de Galeno - Avicena)(50.0%); Paulinum(47.6%)
f108v,7,Amomum|Cardamomum|Casia|Cinnamomum|Crocus|Myrrha|Piper longum,Electuarium Justinum,66.66666666666666,7,100.0,50.0,Electuarium Justinum(66.7%); Theodoricon Euporistum(58.3%); Trifera Saracenica(57.1%); Electuarium Diacostum(55.6%); Jawaarish Jalinusi (Digestivo de Galeno - Avicena)(52.6%)
f111r,8,Amomum|Bdellium|Cardamomum|Casia|Crocus|Myrrha|Opopanax|Piper longum,Electuarium Justinum,54.54545454545454,6,75.0,42.857142857142854,Electuarium Justinum(54.5%); Theodoricon Euporistum(48.0%); Trifera Saracenica(45.5%); Trifera Magna(44.4%); Electuarium Diacostum(42.1%)
f111v,8,Amomum|Bdellium|Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Piper longum,Electuarium Justinum,63.63636363636363,7,87.5,50.0,Electuarium Justinum(63.6%); Theodoricon Euporistum(56.0%); Trifera Saracenica(54.5%); Electuarium Diacostum(52.6%); Jawaarish Jalinusi (Digestivo de Galeno - Avicena)(50.0%)
f112r,7,Bdellium|Cardamomum|Casia|Cinnamomum|Crocus|Myrrha|Piper longum,Trifera Saracenica,57.14285714285714,6,85.71428571428571,42.857142857142854,Trifera Saracenica(57.1%); Electuarium Justinum(57.1%); Jawaarish Jalinusi (Digestivo de Galeno - Avicena)(52.6%); Antidotum Hadriani(52.6%); Theodoricon Euporistum(50.0%)
f112v,7,Bdellium|Casia|Crocus|Galbanum|Mel despumatum|Myrrha|Piper longum,Antidotum Hadriani,52.63157894736842,5,71.42857142857143,41.66666666666667,Antidotum Hadriani(52.6%); Paulinum(50.0%); Trifera Saracenica(47.6%); Electuarium Justinum(47.6%); Theriac Abulcasis (contra venenos)(47.6%)
f113r,11,Amomum|Bdellium|Cardamomum|Casia|Crocus|Galbanum|Mel despumatum|Myrrha|Piper longum|Piper nigrum|Rosa,Electuarium Justinum,64.0,8,72.72727272727273,57.14285714285714,Electuarium Justinum(64.0%); Theodoricon Euporistum(57.1%); Trifera Saracenica(56.0%); Jawaarish Jalinusi (Digestivo de Galeno - Avicena)(52.2%); Paulinum(50.0%)
f113v,10,Amomum|Bdellium|Cardamomum|Casia|Cinnamomum|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum,Electuarium Justinum,75.0,9,90.0,64.28571428571429,Electuarium Justinum(75.0%); Theodoricon Euporistum(66.7%); Trifera Saracenica(66.7%); Jawaarish Jalinusi (Digestivo de Galeno - Avicena)(63.6%); Paulinum(60.9%)
f114r,8,Cardamomum|Cinnamomum|Crocus|Mel despumatum|Myrrha|Opopanax|Piper longum|Piper nigrum,Trifera Saracenica,63.63636363636363,7,87.5,50.0,Trifera Saracenica(63.6%); Electuarium Justinum(63.6%); Theriac Abulcasis (contra venenos)(63.6%); Philonium Romanum(63.2%); Jawaarish Jalinusi (Digestivo de Galeno - Avicena)(60.0%)
f114v,8,Bdellium|Cardamomum|Cinnamomum|Crocus|Galbanum|Myrrha|Piper longum|Piper nigrum,Trifera Saracenica,54.54545454545454,6,75.0,42.857142857142854,Trifera Saracenica(54.5%); Electuarium Justinum(54.5%); Theriac Abulcasis (contra venenos)(54.5%); Philonium Romanum(52.6%); Jawaarish Jalinusi (Digestivo de Galeno - Avicena)(50.0%)
f115r,9,Amomum|Bdellium|Cardamomum|Casia|Crocus|Galbanum|Myrrha|Piper longum|Rosa,Electuarium Justinum,52.17391304347826,6,66.66666666666666,42.857142857142854,Electuarium Justinum(52.2%); Theodoricon Euporistum(46.2%); Suffuf al-Tib (Polvo aromatico de Avicena)(44.4%); Trifera Saracenica(43.5%); Electuarium Diacostum(40.0%)
f115v,12,Bdellium|Cardamomum|Cinnamomum|Crocus|Cubeba|Galanga|Galbanum|Mel despumatum|Myrrha|Nux moschata|Piper longum|Piper nigrum,Trifera Magna,55.00000000000001,11,91.66666666666666,39.285714285714285,Trifera Magna(55.0%); Diasatyrion(53.8%); Trifera Saracenica(53.8%); Electuarium Justinum(53.8%); Theriac Abulcasis (contra venenos)(53.8%)
f116r,10,Amomum|Bdellium|Cardamomum|Casia|Crocus|Cubeba|Galanga|Myrrha|Nux moschata|Piper longum,Trifera Magna,52.63157894736842,10,100.0,35.714285714285715,Trifera Magna(52.6%); Suffuf al-Tib (Polvo aromatico de Avicena)(52.6%); Electuarium Justinum(50.0%); Diamargariton (Electuario de Perlas)(46.2%); Diarodon Abbatis(46.2%)
f116v,0,,,0.0,0,0.0,0.0,
