Stem,Ingredient,Confidence,Tier,Source,Reasoning
C2A1,FUNCTION_WORD,90,0,intersection_empty,"14 folios, 8 recipes. Zero candidates after intersection. Grammatical marker."
A1Q1J1A1,FUNCTION_WORD,90,0,intersection_empty,"12 folios, 6 recipes. Zero candidates. Likely structural word."
U2J1A1,FUNCTION_WORD,90,0,intersection_empty,"10 folios, 6 recipes. Zero candidates. Likely structural/measurement word."
A1Q2A3,FUNCTION_WORD,90,0,intersection_empty,"16 folios, 5 recipes. Zero candidates. High frequency structural word."
D1A1Q1J1A1,FUNCTION_WORD,90,0,intersection_empty,"14 folios, 5 recipes. Zero candidates. Complex stem, structural."
A1B1A3,FUNCTION_WORD,90,0,intersection_empty,"13 folios, 5 recipes. Zero candidates after intersection."
L1J1A1,FUNCTION_WORD,90,0,intersection_empty,"18 folios, 5 recipes. Zero candidates. Structural word."
L1A1,FUNCTION_WORD,90,0,intersection_empty,"18 folios, 6 recipes. Zero candidates. Structural word."
K1K2A1,Galbanum,99,1,v1_solver + cross-validation,Unique intersection across 4 diverse recipes; only resin that fits all
K1A3,Crocus,95,1,elimination_logic,"K1A3 absent from f93v/Diascordium which HAS Cinnamomum; eliminates v3 Cinnamomum candidate. Crocus fits: present in Pillulae Aureae, Trifera, Philonium but NOT Diascordium"
A1Q2A1,Myrrha,92,2,v3_UNIQUE,UNIQUE candidate across 4 recipes incl. Ung.Apostolorum. Myrrha only ingredient in ALL 4 and ABSENT from all 8 absent recipes.
D1A1,Myrrha,90,2,v3_UNIQUE,UNIQUE across Aurea Alex + Trifera + Ung.Apostolorum. Same Myrrha profile as A1Q2A1. Possible: D1A1 is morphological variant of same Myrrha word.
D1A1A3,Myrrha,90,2,v3_UNIQUE,Same presence/absence profile as D1A1 and A1Q2A1. Suffix variant.
Q1K1A1,Myrrha,88,2,v3_UNIQUE,Present in Aurea Alex + Ung.Apostolorum only. Myrrha is the only ingredient in both that is absent from all 8 negative recipes.
A1Q1J1,Myrrha,88,2,v3_UNIQUE,Present in Phil.Persicum + Trifera + Ung.Apostolorum. Myrrha unique fit.
T1J1A1B1A3,Myrrha,85,2,v3_UNIQUE,Only appears in Philonium + Unguentum Apostolorum. Myrrha is the only shared ingredient absent from all 8 negatives.
Q1A1,Zingiber|Mel despumatum,85,3,elimination_to_pair,Reduced to exactly 2 candidates with identical recipe profiles. Both are present in same 6 recipes and absent from same 3. Cannot disambiguate further without morphological/frequency analysis.
Q2A1,Zingiber|Mel despumatum,85,3,elimination_to_pair,Reduced to exactly 2 candidates with identical recipe profiles. Both are present in same 6 recipes and absent from same 3. Cannot disambiguate further without morphological/frequency analysis.
Q2K1A1,Zingiber|Mel despumatum,85,3,elimination_to_pair,Reduced to exactly 2 candidates with identical recipe profiles. Both are present in same 6 recipes and absent from same 3. Cannot disambiguate further without morphological/frequency analysis.
U1A1,Zingiber|Mel despumatum,85,3,elimination_to_pair,Reduced to exactly 2 candidates with identical recipe profiles. Both are present in same 6 recipes and absent from same 3. Cannot disambiguate further without morphological/frequency analysis.
U2A1,Zingiber|Mel despumatum,85,3,elimination_to_pair,Reduced to exactly 2 candidates with identical recipe profiles. Both are present in same 6 recipes and absent from same 3. Cannot disambiguate further without morphological/frequency analysis.
B1K1A1,Rosa,82,3,v3_STRONG,"Present in Confectio Hamech + Diascordium only. Rosa scores 0.882 (top), next is Zingiber 0.726. Rosa is in both recipes."
A1C1A3,Crocus,80,3,v3_STRONG,STRONG: 2 candidates (Crocus vs Cinnamomum). Crocus scores 0.763 vs Cinnamomum ~0.607. Crocus is the discriminative choice.
A1B2K1J1,Crocus,80,3,v3_STRONG,STRONG: 2 candidates (Crocus vs Cinnamomum). Crocus scores 0.763 vs Cinnamomum ~0.607. Crocus is the discriminative choice.
A2Q2J1A1,Crocus,80,3,v3_STRONG,STRONG: 2 candidates (Crocus vs Cinnamomum). Crocus scores 0.763 vs Cinnamomum ~0.607. Crocus is the discriminative choice.
T1J1A1,Crocus,80,3,v3_STRONG,STRONG: 2 candidates (Crocus vs Cinnamomum). Crocus scores 0.763 vs Cinnamomum ~0.607. Crocus is the discriminative choice.
B1L1J1A1,Crocus,80,3,v3_STRONG,STRONG: 2 candidates (Crocus vs Cinnamomum). Crocus scores 0.784 vs Cinnamomum ~0.607. Crocus is the discriminative choice.
C2A1C2A3,Crocus,80,3,v3_STRONG,STRONG: 2 candidates (Crocus vs Cinnamomum). Crocus scores 0.784 vs Cinnamomum ~0.607. Crocus is the discriminative choice.
K1J1U1J1,Crocus,80,3,v3_STRONG,STRONG: 2 candidates (Crocus vs Cinnamomum). Crocus scores 0.763 vs Cinnamomum ~0.607. Crocus is the discriminative choice.
K1K2Q1J1,Crocus,80,3,v3_STRONG,STRONG: 2 candidates (Crocus vs Cinnamomum). Crocus scores 0.763 vs Cinnamomum ~0.607. Crocus is the discriminative choice.
U1J1Aa,Crocus,80,3,v3_STRONG,STRONG: 2 candidates (Crocus vs Cinnamomum). Crocus scores 0.763 vs Cinnamomum ~0.607. Crocus is the discriminative choice.
A2A3,Cinnamomum,60,3,elimination_chain,"Was MODERATE with 3 candidates. After eliminating {'Crocus', 'Casia'}, only Cinnamomum remains."
P1K1J1A1,Cinnamomum,60,3,elimination_chain,"Was MODERATE with 3 candidates. After eliminating {'Crocus', 'Casia'}, only Cinnamomum remains."
K1J1A1B2,Saccharum,75,4,elimination_chain_strong,Reduced from 4 to 2 candidates. Top: Saccharum(0.873) vs Cinnamomum(0.607). Gap > 0.05.
K1A1B2B1A3,Galanga|Cubeba|Nux moschata,75,4,diamargariton_exclusive,"Only in Diamargariton+Trifera. After eliminating Cardamomum, Casia, Crocus, Cinnamomum, only Galanga/Cubeba/Nux moschata remain. These 3 have identical recipe profiles."
T1A1,Galanga|Cubeba|Nux moschata,75,4,diamargariton_exclusive,"Only in Diamargariton+Trifera. After eliminating Cardamomum, Casia, Crocus, Cinnamomum, only Galanga/Cubeba/Nux moschata remain. These 3 have identical recipe profiles."
K1A1C1,Amomum,72,4,v3_MODERATE,"Amomum scores 0.936, well above next (Piper nigrum 0.835). Present in Diaciminum+Trifera only. Amomum in both."
K1C2,Amomum,72,4,v3_MODERATE,"Amomum scores 0.936, well above next (Piper nigrum 0.835). Present in Diaciminum+Trifera only. Amomum in both."
K1U1J1,Amomum,72,4,v3_MODERATE,"Amomum scores 0.936, well above next (Piper nigrum 0.835). Present in Diaciminum+Trifera only. Amomum in both."
A1Q1A1,Piper nigrum,70,4,v3_MODERATE,Top candidate at 0.835. Present in Aurea+Diaciminum+Philonium+Trifera. P.nigrum in all 4.
A1Q1L1,Styrax,70,4,v3_MODERATE,Styrax scores 0.907. Present in Diascordium+Philonium only. Styrax is in both.
U1J1A1B1,Styrax,70,4,v3_MODERATE,Styrax scores 0.907. Present in Diascordium+Philonium only. Styrax is in both.
A1Q1A3,Piper longum,68,4,v3_MODERATE,Top candidate at 0.780. Similar profile to A1Q1A1 (Piper nigrum) -- morphological pair A1Q1+A1 vs A1Q1+A3 maps to nigrum/longum pair.
D1,Bdellium,68,4,v3_MODERATE,"Bdellium 0.928, next Opopanax 0.919. Present in Trifera+Ung.Apostolorum. Both have Bdellium."
P1K1K2,Bdellium,68,4,v3_MODERATE,"Bdellium 0.928, next Opopanax 0.919. Present in Trifera+Ung.Apostolorum. Both have Bdellium."
A1Q1K2A1,Casia,65,4,v3_MODERATE,Top candidate 0.827. Present in Aurea+Diamargariton+Philonium+Trifera. Casia in all 4. K1A3=Crocus eliminates Crocus from this list.
A1B2K1J1A1,Cardamomum,65,4,v3_MODERATE,"Cardamomum 0.890. Present in Diamargariton+Philonium (or +Trifera). After eliminating Crocus(=K1A3) and Casia(=A1Q1K2A1), Cardamomum is top."
C1A3,Cardamomum,65,4,v3_MODERATE,"Cardamomum 0.890. Present in Diamargariton+Philonium (or +Trifera). After eliminating Crocus(=K1A3) and Casia(=A1Q1K2A1), Cardamomum is top."
D1A1Q1J1A1B1,Cardamomum,65,4,v3_MODERATE,"Cardamomum 0.890. Present in Diamargariton+Philonium (or +Trifera). After eliminating Crocus(=K1A3) and Casia(=A1Q1K2A1), Cardamomum is top."
D1A1Q2J1A1,Cardamomum,65,4,v3_MODERATE,"Cardamomum 0.890. Present in Diamargariton+Philonium (or +Trifera). After eliminating Crocus(=K1A3) and Casia(=A1Q1K2A1), Cardamomum is top."
K1J1A1U1,Cardamomum,65,4,v3_MODERATE,"Cardamomum 0.890. Present in Diamargariton+Philonium (or +Trifera). After eliminating Crocus(=K1A3) and Casia(=A1Q1K2A1), Cardamomum is top."
L1A1B1A1,Cardamomum,65,4,v3_MODERATE,"Cardamomum 0.890. Present in Diamargariton+Philonium (or +Trifera). After eliminating Crocus(=K1A3) and Casia(=A1Q1K2A1), Cardamomum is top."
L1A1U1J1,Cardamomum,65,4,v3_MODERATE,"Cardamomum 0.890. Present in Diamargariton+Philonium (or +Trifera). After eliminating Crocus(=K1A3) and Casia(=A1Q1K2A1), Cardamomum is top."
K1A1B2A1B1,Cardamomum,65,4,v3_MODERATE,"Cardamomum 0.890. Present in Diamargariton+Philonium (or +Trifera). After eliminating Crocus(=K1A3) and Casia(=A1Q1K2A1), Cardamomum is top."
A1Q2J1A1,Casia,63,4,v3_MODERATE,"Same Casia profile as A1Q1K2A1. Morphological variant. After eliminating Crocus (=K1A3), Casia is top."
D1A1Q1K2A1,Casia,63,4,v3_MODERATE,Same profile. D1A1-prefix + Casia stem.
A1B2B1A3,Opopanax,80,3,session6_independent,"Independent resolution to Opopanax. Present in Trifera Magna + Ung. Apostolorum + Pil. Fetidae. Opopanax is in all three. Converges independently from A3F2."
A3F2,Opopanax,78,3,session6_independent,"Converges to Opopanax independently from A1B2B1A3. Present in same recipe subset. Cross-validated by two independent stems resolving to same ingredient."
